Tag,H2.2008,H1.2009,H2.2009,H1.2010,H2.2010,H1.2011,H2.2011,H1.2012,H2.2012,H1.2013,H2.2013,H1.2014,H2.2014,H1.2015,H2.2015,H1.2016,H2.2016,H1.2017,H2.2017,H1.2018,H2.2018,H1.2019,H2.2019,TopicNumber,Propensity
crossfilter,0,0,0,0,0,0,0,7,17,33,38,111,99,91,106,96,85,98,63,77,64,51,10,topic_863,0.10709875
ms-project,6,7,8,13,23,12,10,35,40,33,34,29,30,25,33,36,31,37,50,52,45,45,19,topic_902,0.05930807
authentication,224,491,704,898,1053,1502,1662,1839,1819,1981,2158,2336,2045,2418,2539,2599,2327,2506,2306,2017,2151,2359,1047,topic_1422,0.49174348
multiple-tables,1,2,7,21,20,41,38,52,60,59,60,49,62,52,48,34,31,40,20,21,15,9,8,topic_1242,0.40161726
move,3,9,16,21,44,104,109,110,144,215,183,139,163,197,157,150,125,141,130,137,146,148,47,topic_304,0.3915824
turtle-graphics,2,1,4,0,4,7,11,11,26,41,76,81,70,100,97,128,127,154,156,187,167,273,64,topic_355,0.03658687
sap,21,9,50,81,59,82,91,132,166,178,197,208,251,250,321,343,376,473,420,405,546,521,213,topic_945,0.3504618
sas,5,59,53,38,50,114,107,197,226,363,641,780,855,929,935,982,971,896,786,862,796,728,217,topic_254,0.66868687
rcurl,0,0,0,2,3,8,10,17,17,43,45,49,64,60,58,42,44,41,36,38,27,21,12,topic_962,0.049658205
sax,13,24,42,66,84,135,155,165,114,128,111,97,69,79,87,82,44,51,41,38,34,28,12,topic_670,0.44229764
apache2.4,0,0,0,0,0,0,0,0,1,0,3,36,48,46,58,73,73,72,71,77,90,80,28,topic_801,0.12083668
streamwriter,1,6,12,20,28,34,63,55,90,99,98,116,87,104,71,73,66,58,65,46,52,41,6,topic_1213,0.07391229
thread-sleep,0,0,0,1,0,16,32,22,34,67,75,97,65,55,44,35,40,31,31,27,28,26,3,topic_1112,0.03875181
frontend,10,13,20,36,48,69,81,84,113,156,181,210,226,294,319,397,390,507,535,571,747,646,234,topic_53,0.4490762
f#-interactive,0,1,4,21,16,23,15,25,9,11,21,14,27,17,28,20,23,24,22,14,25,8,3,topic_1237,0.045319464
emgucv,0,1,7,25,15,58,58,102,116,158,120,164,89,139,129,133,124,100,102,90,90,121,30,topic_505,0.07395982
kendo-grid,0,0,0,0,0,0,0,2,15,489,645,748,662,727,528,520,477,420,363,338,328,389,118,topic_1399,0.25015718
sha256,1,2,10,13,15,37,37,33,49,49,65,59,57,69,97,109,74,80,87,104,109,106,22,topic_1109,0.104982354
sbt,0,0,5,21,51,88,207,214,248,373,506,753,772,746,684,654,605,567,545,491,387,412,123,topic_19,0.08155837
llvm,1,13,16,48,62,155,180,264,268,332,259,313,250,296,305,259,254,358,235,231,236,263,94,topic_1063,0.3466716
mouseover,6,19,62,70,86,143,152,156,188,225,164,155,102,119,91,96,71,83,43,59,61,38,13,topic_116,0.19344898
listview,103,226,462,695,1058,1663,2112,2245,2545,2753,3376,3941,3482,3576,3196,4162,3213,2944,2441,1711,1446,993,341,topic_1020,0.95048326
nscoding,0,3,5,10,21,16,28,41,27,32,31,47,39,35,41,45,43,37,23,20,14,13,1,topic_618,0.01435116
moxy,0,0,0,0,9,28,27,53,82,85,107,92,76,54,51,24,26,22,26,12,32,17,4,topic_917,0.06640814
java-native-interface,35,66,102,150,198,392,431,529,576,607,588,572,503,561,561,462,412,438,375,318,361,295,105,topic_1220,0.62636966
fluid,1,4,11,11,10,19,25,31,47,91,79,61,71,103,50,86,110,104,69,70,78,75,18,topic_96,0.05469556
dgrid,0,0,0,0,0,0,0,10,35,25,45,41,24,44,36,26,19,18,14,4,7,5,0,topic_661,0.027283419
bindingsource,2,26,27,29,21,31,31,43,42,46,41,42,28,21,22,45,22,27,17,17,19,17,5,topic_232,0.13098022
getchar,0,1,4,11,7,14,20,23,29,36,45,74,57,56,63,44,38,39,35,38,32,25,7,topic_38,0.07751678
scp,11,13,19,16,30,47,46,65,73,77,105,114,92,113,106,81,88,84,67,71,71,66,34,topic_964,0.036036037
tkinter,18,34,45,84,273,247,327,435,484,951,1117,1269,1238,1625,1612,1866,1702,2378,2210,2286,2390,2880,1057,topic_363,0.67411363
documentation,96,142,179,205,200,245,189,242,224,226,196,200,149,161,174,141,147,142,111,135,187,191,66,topic_412,0.18097118
named-ranges,0,2,2,4,4,1,7,4,12,13,9,18,16,24,27,40,25,30,32,39,28,34,13,topic_48,0.019386632
symfony-sonata,0,0,0,0,0,0,3,62,70,34,88,56,39,29,33,33,28,32,29,15,22,16,2,topic_802,0.027942019
core-text,0,1,0,8,54,42,59,95,67,79,51,57,39,29,22,19,17,19,16,12,11,16,5,topic_758,0.024804315
delay,2,19,29,63,87,160,184,195,209,265,248,312,229,203,195,204,150,162,147,141,144,137,38,topic_258,0.27275547
virtuemart,0,1,9,11,26,43,52,69,89,80,67,73,48,40,24,24,17,9,8,10,9,8,3,topic_583,0.035868365
xunit.net,6,12,17,15,8,10,11,21,18,19,23,52,33,43,48,48,54,51,40,37,60,61,21,topic_856,0.16548964
sdl,22,38,63,61,115,150,225,246,281,299,411,384,264,255,211,258,177,158,100,137,137,138,40,topic_998,0.20102322
sdk,18,84,187,378,468,744,748,785,854,874,709,797,731,689,694,587,573,566,520,410,472,510,175,topic_974,0.62159353
html2canvas,0,0,0,0,0,0,0,9,15,28,38,61,62,66,86,105,74,107,101,105,148,155,62,topic_218,0.28427938
stripe-connect,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,54,63,72,55,53,9,0,0,topic_1378,0.04929194
schema,79,172,185,220,254,256,260,258,293,297,275,274,271,295,275,283,273,286,262,256,311,350,110,topic_1496,0.2906189
jira-rest-api,0,0,0,0,0,0,1,0,3,0,20,38,69,66,74,93,86,93,81,81,113,106,37,topic_605,0.06737614
m2eclipse,0,6,17,68,97,111,105,105,111,104,74,58,59,42,41,50,28,38,29,23,18,18,10,topic_1175,0.07115487
scheme,57,81,152,173,236,355,231,347,417,540,508,446,408,378,363,387,411,316,256,257,237,225,63,topic_585,0.2620909
telerik-mvc,0,0,0,2,38,78,128,158,144,76,48,51,26,49,22,28,21,19,11,16,23,29,4,topic_979,0.11051367
mediaelement,2,8,26,28,55,31,64,58,66,65,57,49,38,46,38,38,27,17,23,10,21,15,6,topic_76,0.005128541
pom.xml,2,6,18,28,37,69,86,160,180,194,215,214,227,216,239,257,242,238,226,234,259,260,92,topic_588,0.048012063
bcp,5,14,18,26,24,33,25,44,36,42,63,51,60,53,59,61,56,51,54,42,46,54,27,topic_81,0.32480112
sed,24,70,172,237,332,453,575,790,983,1315,1482,1601,1589,1606,1398,1534,1511,1497,1392,1294,1132,1134,375,topic_1260,0.94124293
amazon-lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,99,102,56,72,19,topic_1354,0.08233841
seo,55,150,259,328,364,400,401,550,566,563,357,432,440,536,415,432,322,176,86,96,101,107,51,topic_1494,0.85165423
android-camera-intent,0,0,1,1,11,19,26,39,54,58,65,63,50,59,83,71,49,61,45,64,33,30,8,topic_969,0.071147196
google-tag-manager,0,0,0,0,0,0,0,0,9,26,51,123,144,200,247,210,279,307,272,275,331,293,107,topic_102,0.553861
bdd,13,27,59,57,113,137,151,174,151,173,144,146,129,158,200,142,129,139,105,114,146,124,52,topic_321,0.26279444
set,32,68,118,200,230,284,345,420,453,531,579,586,546,574,558,554,484,507,458,439,486,443,136,topic_1443,0.5174865
dotnet-httpclient,0,0,0,0,0,0,0,27,39,64,125,151,99,110,92,115,102,139,143,151,159,169,58,topic_1070,0.14954397
procedure,2,8,12,14,23,47,33,85,136,154,125,153,125,142,105,128,112,128,122,111,117,115,37,topic_1181,0.25483546
audio-recording,4,14,13,34,54,79,99,118,121,128,112,118,104,131,78,90,93,94,79,68,94,83,28,topic_1021,0.22599359
sample,7,21,22,33,26,52,33,44,74,72,60,76,65,77,65,55,22,0,33,88,68,76,40,topic_498,0.13043478
angular-bootstrap,0,0,0,0,0,0,0,0,0,0,0,16,55,67,71,64,58,48,28,22,38,19,3,topic_208,0.08306161
paypal-rest-sdk,0,0,0,0,0,0,0,0,0,0,13,29,32,85,95,119,117,117,79,60,79,82,31,topic_655,0.049574915
meanjs,0,0,0,0,0,0,0,0,0,0,0,5,86,216,194,132,111,68,41,20,10,3,0,topic_413,0.105018474
uialertcontroller,0,0,0,0,0,0,0,1,0,1,0,12,135,171,201,240,166,172,118,94,82,97,21,topic_773,0.03542946
data.table,0,0,0,2,3,10,40,99,188,309,351,545,473,663,784,734,679,861,758,865,758,689,302,topic_1051,0.6937843
thread-synchronization,0,1,0,0,2,5,8,10,33,36,28,34,34,35,24,28,18,18,29,34,43,32,10,topic_841,0.01735597
chrono,0,0,0,0,0,1,3,5,22,26,28,34,27,47,55,48,35,44,44,47,47,54,13,topic_685,0.02746859
visualization,31,48,73,94,113,137,163,149,142,178,173,189,169,194,172,217,203,250,237,236,265,236,67,topic_924,0.27861997
icefaces,2,19,34,44,70,101,92,83,58,73,51,29,22,26,15,22,13,15,6,8,3,15,5,topic_943,0.082919255
dompdf,1,2,6,14,18,24,34,46,63,84,82,90,72,92,95,141,102,107,105,89,102,104,45,topic_427,1.0
android-imageview,0,3,2,4,14,51,137,218,326,401,409,390,260,259,276,268,202,200,180,144,120,118,21,topic_487,0.30226052
realloc,2,6,9,20,25,24,42,51,63,60,88,101,89,93,60,85,66,87,70,51,63,63,8,topic_1106,0.053976394
telegram-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,10,134,231,204,255,305,306,251,247,105,topic_712,0.16416231
defaultdict,0,0,0,0,3,1,6,19,13,15,30,19,15,27,31,31,37,46,35,46,47,27,9,topic_948,0.06997988
fgets,2,6,12,25,33,24,49,38,81,83,112,120,113,145,99,104,96,105,74,80,83,66,15,topic_607,0.105490945
listitem,2,4,16,23,15,32,41,47,50,55,68,49,36,44,40,27,24,24,31,35,27,23,4,topic_878,0.13263786
intentfilter,0,2,5,19,34,50,51,89,76,109,105,105,97,97,96,106,77,68,55,43,43,62,19,topic_888,0.25509092
kivy,0,0,0,0,0,1,1,14,35,72,155,318,354,422,428,613,542,564,673,666,661,825,336,topic_131,0.3572002
shipping,7,3,4,13,19,28,33,46,45,72,61,60,61,53,53,55,42,71,88,98,58,56,10,topic_965,0.31327865
dijit.form,0,0,5,9,10,22,21,26,34,21,25,15,20,26,18,17,14,22,7,10,6,3,4,topic_347,0.020745583
linked-list,24,61,104,188,223,398,391,496,671,842,988,1173,869,1095,942,1034,913,953,729,747,631,705,192,topic_1386,0.68056476
named-entity-recognition,3,2,2,2,5,12,9,14,10,12,23,32,24,36,39,39,39,59,47,31,26,34,12,topic_633,0.056641717
image-gallery,4,10,12,29,46,56,59,82,84,100,74,74,77,75,73,62,45,48,49,45,39,45,10,topic_98,0.1574294
urllib,8,12,28,51,52,77,94,77,95,146,136,138,158,174,162,210,190,212,247,223,221,227,82,topic_940,0.12487575
cpu-usage,8,32,44,49,61,113,89,118,122,134,144,142,126,145,137,129,120,127,101,97,96,137,37,topic_948,0.35655674
hammer.js,0,0,0,0,0,0,0,3,15,51,59,82,110,65,42,51,41,30,25,30,33,37,15,topic_443,0.13682736
android-mediaplayer,0,1,4,7,9,20,102,192,247,340,347,351,339,307,296,260,273,243,242,214,221,202,60,topic_129,0.22499605
treeset,0,0,6,7,15,16,19,26,20,35,46,35,29,30,28,42,34,34,22,23,25,25,4,topic_340,0.018861717
powerpoint,18,43,67,108,128,124,128,180,209,224,259,233,186,267,242,248,207,297,245,257,316,346,150,topic_598,0.07895035
linear-algebra,8,26,32,36,71,72,89,127,158,180,165,178,159,174,171,203,172,189,179,203,205,200,74,topic_1383,0.2041686
viewmodel,0,28,50,129,182,230,178,252,196,284,184,154,138,163,145,100,115,106,113,156,194,191,94,topic_866,0.21592072
django-crispy-forms,0,0,0,0,0,0,0,2,29,31,34,51,49,41,48,38,36,33,28,25,26,33,17,topic_675,0.08368472
dvcs,32,61,63,106,94,89,62,127,59,42,30,27,27,10,11,9,12,9,6,11,10,3,0,topic_416,0.017653557
sha,1,5,6,4,7,42,37,62,60,59,75,69,56,62,55,67,41,70,66,60,55,51,12,topic_378,0.14652067
continuous-deployment,0,0,0,4,4,13,23,23,37,31,42,49,45,75,92,137,125,135,151,179,189,218,109,topic_1177,0.2604102
closures,44,73,88,146,178,266,269,305,332,405,376,387,435,460,502,507,442,412,410,357,325,330,112,topic_1015,0.22394693
user-interface,581,1018,1318,1664,1695,2230,2176,2624,2682,2906,2848,3207,2575,2502,2407,2333,1987,2013,1764,1700,1710,1689,580,topic_1194,0.78678584
gnuplot,7,9,20,24,48,101,127,242,271,339,389,457,443,433,331,377,308,304,240,244,236,255,63,topic_469,0.01671202
uibinder,0,0,5,40,60,80,66,81,79,79,80,63,36,36,12,21,11,6,3,5,2,7,0,topic_1130,0.053212155
css-float,18,44,101,126,209,343,430,528,527,611,581,410,273,275,209,191,210,148,131,82,81,65,24,topic_357,0.28553984
react-leaflet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,34,37,29,48,73,77,24,topic_1477,0.09891808
owl-api,0,0,0,1,0,0,0,2,1,17,21,20,27,29,41,22,44,46,42,39,33,24,3,topic_305,0.031346273
nsoutlineview,0,6,16,24,20,42,44,54,37,56,47,40,40,30,22,22,16,15,25,14,15,17,5,topic_359,0.0023436253
django-settings,0,1,0,3,9,26,19,40,35,35,39,43,38,28,58,42,25,30,36,36,30,33,9,topic_1120,0.0784465
csrf-protection,0,0,0,0,4,7,14,17,17,14,26,34,42,42,65,78,78,74,79,73,66,42,0,topic_850,0.01944874
cursor,14,47,104,173,269,366,438,545,582,582,552,517,414,431,423,418,326,340,341,284,186,166,60,topic_1176,0.44434667
mobilefirst-server,0,0,0,0,0,0,0,0,0,0,0,0,4,93,63,84,73,59,20,25,12,14,3,topic_989,0.023986632
winsock2,0,2,5,17,19,35,23,35,50,64,46,53,38,50,62,38,39,26,34,46,26,36,21,topic_1128,0.12809709
mandrill,0,0,0,0,0,0,0,0,1,39,64,101,144,180,148,101,25,22,24,21,27,26,6,topic_457,0.116828926
photo-gallery,1,1,4,18,28,44,46,41,48,46,36,31,19,22,27,26,15,12,14,22,14,18,7,topic_98,0.0705991
timeout,61,119,175,229,252,378,409,474,487,509,453,482,447,428,407,430,408,377,310,361,327,345,116,topic_276,0.52614576
jenkins-groovy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,9,26,48,130,277,151,topic_580,0.014021917
refactoring,164,271,315,331,314,372,387,337,385,374,339,324,241,303,298,321,243,240,235,223,260,239,83,topic_785,0.28174672
linq-expressions,0,0,3,8,11,27,21,21,29,38,33,36,35,37,28,30,26,26,15,35,16,23,6,topic_325,0.02785842
firebase-authentication,0,0,0,0,0,0,0,0,0,2,0,0,2,20,102,587,1444,1494,1618,1661,1507,1631,591,topic_1384,0.09058215
sip,3,7,28,33,44,106,116,149,142,136,196,222,140,202,178,156,156,136,106,111,133,124,50,topic_106,0.2615641
posix,29,83,99,131,178,242,244,225,269,271,321,344,212,268,259,306,231,214,195,234,208,202,67,topic_519,0.72959495
tidyverse,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,45,234,454,467,481,552,196,topic_1051,0.18487203
entity-framework-4.1,0,0,0,1,0,616,1092,641,314,140,80,27,8,11,5,0,0,0,0,1,1,1,0,topic_5,0.19364849
android-constraintlayout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,104,227,346,374,334,344,116,topic_677,0.24275504
teradata,1,5,11,15,20,25,29,47,104,121,182,221,224,240,281,318,337,313,285,360,296,273,99,topic_301,0.22458503
lua-table,0,5,9,19,8,21,16,18,22,75,106,137,119,95,62,60,66,64,48,49,52,34,15,topic_709,0.0964248
packaging,21,21,54,69,77,76,86,81,90,103,76,81,78,91,68,79,56,64,61,53,72,65,23,topic_1136,0.36406618
twython,0,0,0,2,0,4,1,1,10,22,48,27,25,21,20,19,17,20,14,18,13,9,2,topic_826,0.0151826665
error-handling,116,239,298,379,401,584,751,803,943,1067,1043,1033,955,1098,1163,1160,1070,1086,953,1043,1112,1101,374,topic_783,0.6469818
sphinx,5,21,51,91,93,153,158,192,230,183,176,150,117,116,148,80,66,89,59,72,53,43,8,topic_735,0.40689418
drop-down-menu,69,156,320,439,521,902,1079,1363,1323,1572,1287,1408,1073,1141,1115,958,861,872,750,606,590,592,181,topic_1372,0.77844095
single-page-application,0,0,1,0,0,0,2,28,52,296,301,287,220,287,215,238,286,288,273,255,312,273,113,topic_288,0.5846686
pyramid,1,0,0,0,5,79,149,182,215,240,179,196,125,136,139,104,79,79,62,45,41,34,18,topic_1038,0.122381285
aws-code-deploy,0,0,0,0,0,0,0,0,0,0,0,0,3,26,48,66,47,67,74,57,72,91,35,topic_126,0.034212697
sql-update,21,68,81,132,133,239,264,207,498,810,661,672,617,629,609,624,261,326,435,501,461,431,135,topic_1031,0.3608881
select,41,198,397,700,793,1213,1418,1684,2013,2747,2365,2436,2106,2177,1930,1771,1518,1524,1415,1326,1292,1121,334,topic_1152,1.0
lodash,0,0,0,0,0,0,1,0,2,27,42,120,152,317,358,563,541,599,585,539,493,493,144,topic_542,0.38460347
urlencode,8,27,41,60,83,118,79,124,115,148,104,111,75,92,76,78,64,70,66,67,66,95,38,topic_387,0.3946503
invoke,11,33,46,52,64,83,77,111,88,120,96,104,71,71,72,88,57,60,61,44,63,52,17,topic_680,0.26708397
bit,6,16,29,11,23,74,75,79,90,120,166,139,127,153,98,138,111,120,83,95,149,127,32,topic_604,0.09053679
clipboard,30,62,74,75,118,131,146,156,138,203,184,171,137,153,172,186,133,153,139,131,152,165,40,topic_631,0.19848722
jodatime,3,8,26,34,59,87,85,143,156,223,183,256,231,240,226,208,156,132,92,80,51,62,17,topic_402,0.13524269
detailsview,8,26,27,28,41,60,62,42,53,51,39,24,16,17,25,17,7,12,10,6,6,6,1,topic_1303,0.025064936
zebra-printers,2,1,7,12,13,22,27,26,38,48,37,48,54,45,51,40,19,34,33,37,31,30,11,topic_1230,0.09484862
gitlab-ci-runner,0,0,0,0,0,0,0,0,0,0,1,0,2,6,39,66,97,117,152,178,194,265,90,topic_321,0.11370731
modem,6,18,22,25,24,23,40,46,38,50,42,48,33,40,39,25,23,23,22,17,43,26,8,topic_1059,0.048822764
razorengine,0,0,0,0,0,3,3,6,6,8,35,74,45,50,42,37,38,39,29,34,35,23,11,topic_153,0.06835443
model,48,147,198,375,423,662,710,895,981,1029,918,954,807,908,762,764,660,710,602,557,654,797,251,topic_390,0.63516647
sequel,0,3,11,11,16,20,13,37,67,60,48,67,30,58,45,43,43,33,37,48,13,10,5,topic_628,0.029496938
reduce,6,1,7,12,18,43,41,61,58,71,67,82,85,119,136,131,127,152,158,176,172,178,55,topic_457,0.24668099
ormlite-servicestack,0,0,0,0,0,0,0,5,42,98,103,82,88,68,44,47,32,52,18,38,40,22,6,topic_713,0.0967022
transactions,115,229,349,440,456,617,614,668,710,676,824,864,812,867,791,713,644,624,619,481,513,509,169,topic_1323,0.3369053
params,3,12,20,32,41,60,80,76,98,100,100,89,94,95,105,90,71,0,0,0,0,0,0,topic_1436,0.17297378
gemfire,0,0,0,0,0,1,3,2,8,5,2,12,16,37,33,21,47,45,71,35,42,27,10,topic_472,0.06476969
tcsh,5,8,15,27,20,15,13,24,39,39,44,34,37,31,28,14,25,32,27,30,32,25,5,topic_208,0.0967908
material-design-lite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,149,101,84,54,20,28,17,6,topic_53,0.047411818
cultureinfo,3,24,33,36,40,52,60,61,70,74,59,55,54,57,45,56,39,37,30,26,35,26,16,topic_755,0.039021872
doctrine,9,13,112,346,444,473,572,522,532,604,526,523,500,503,543,598,482,539,504,507,492,547,184,topic_921,0.108824864
tuples,16,34,46,100,123,154,194,218,277,384,424,412,416,491,497,592,498,564,556,515,539,509,174,topic_1281,0.070149325
mpmovieplayercontroller,1,12,41,83,169,227,209,257,251,211,179,134,148,121,92,46,33,17,8,2,0,2,0,topic_444,0.051714577
os.walk,1,0,1,4,4,8,14,14,12,23,22,27,20,28,39,42,31,37,31,44,37,39,12,topic_359,0.0018881366
firebase-security-rules,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,208,350,379,125,topic_1023,0.06809276
c++builder,28,63,49,106,80,120,128,133,162,210,152,146,122,162,159,132,124,109,76,112,164,121,38,topic_313,0.04355849
jradiobutton,0,0,1,5,4,10,11,34,37,48,44,48,26,37,25,20,21,15,9,4,5,5,0,topic_1380,0.004451447
sml,4,14,13,19,59,68,48,59,86,180,153,78,95,105,133,101,74,114,67,100,84,68,8,topic_565,0.22954091
smo,12,23,31,38,49,39,47,49,54,39,51,24,33,44,31,40,24,22,29,11,26,20,11,topic_1477,0.2293663
mpdf,0,0,0,0,0,2,10,13,35,49,50,78,60,62,70,85,84,98,108,101,111,104,39,topic_1172,0.037828624
sms,29,86,90,176,258,385,404,548,491,466,444,482,371,373,384,350,270,275,243,189,254,242,72,topic_1294,0.099792495
angle,3,11,12,15,32,39,42,57,70,93,71,82,68,76,68,61,46,69,44,42,48,43,18,topic_456,0.23415978
smt,0,0,0,0,0,1,16,10,38,25,28,48,25,40,57,41,34,29,36,41,34,56,17,topic_677,0.07420403
eclipse-adt,0,0,0,5,6,6,18,22,34,85,98,87,112,43,16,19,8,6,8,3,4,1,0,topic_1346,0.051719494
google-sheets-query,0,0,0,0,0,0,0,1,4,1,3,2,7,10,1,6,8,21,49,68,84,243,167,topic_207,0.09183114
boot2docker,0,0,0,0,0,0,0,0,0,0,0,33,132,276,215,91,53,40,28,20,17,13,4,topic_528,0.012080573
google-signin,0,0,0,0,0,0,0,0,1,0,1,0,3,35,247,306,276,257,239,222,283,290,107,topic_765,0.3551578
datastax-enterprise,0,0,0,0,0,0,0,0,10,28,87,123,128,146,106,205,229,144,87,107,64,58,12,topic_276,0.10082427
pass-by-value,7,14,12,17,25,32,38,51,35,49,60,63,76,68,56,47,57,32,35,41,47,34,10,topic_814,0.021199502
text-parsing,4,19,23,33,40,76,39,26,39,62,53,72,37,44,53,50,47,51,34,50,37,37,12,topic_779,0.12298972
pymc,0,0,0,0,0,0,0,1,0,6,43,81,64,35,39,24,30,30,22,21,14,15,5,topic_1042,0.04844409
eventkit,1,0,0,1,13,36,33,32,33,53,34,36,16,33,31,20,29,18,22,21,17,24,4,topic_618,0.012705966
polygon,11,23,41,54,60,100,108,167,166,232,183,213,174,192,215,201,172,167,138,143,180,200,67,topic_456,0.6785336
data-visualization,8,8,25,37,64,84,79,133,137,175,157,203,191,213,211,273,240,295,293,346,424,490,155,topic_780,0.10295297
microsoft-dynamics,9,4,11,7,7,26,38,57,41,77,53,113,116,134,153,162,186,197,154,145,201,182,71,topic_488,0.041415766
shuffle,5,14,18,19,28,42,50,54,77,102,102,104,119,125,127,113,83,109,96,98,89,85,29,topic_1151,0.45795915
uifont,0,1,2,7,16,32,38,56,35,52,75,49,52,38,48,57,30,30,14,14,14,18,3,topic_690,0.28523207
.net-core,1,0,0,0,0,0,1,1,1,0,1,0,9,46,85,342,1302,1932,1930,2590,3325,4115,1585,topic_739,0.72883505
ckeditor4.x,0,0,0,0,0,0,0,0,0,0,0,0,0,24,69,61,44,52,55,75,94,138,42,topic_1187,0.1460396
lme4,0,0,2,1,0,2,6,9,8,17,34,39,41,46,83,66,78,86,75,97,85,114,42,topic_645,0.5667075
soa,39,41,59,87,102,140,113,145,119,128,123,108,83,104,88,67,75,52,62,42,42,42,11,topic_388,0.3398871
annotations,42,89,174,271,314,441,578,584,611,677,642,659,642,692,594,564,495,570,556,484,509,463,175,topic_684,0.65073067
abaddressbook,0,0,7,19,22,58,50,63,90,91,85,80,74,49,67,23,21,5,4,6,3,1,1,topic_476,0.14837769
posts,0,0,0,0,13,23,40,44,69,54,69,72,49,53,44,44,50,49,37,35,33,47,7,topic_722,0.1786949
unset,1,0,4,15,15,25,24,27,30,36,34,52,34,35,32,26,21,35,17,21,23,14,6,topic_781,0.023081005
global-variables,13,50,87,162,175,232,284,360,412,469,460,455,420,411,382,380,357,368,360,324,309,296,82,topic_783,0.23590857
nsubstitute,0,0,0,0,2,3,8,11,14,16,15,22,25,39,26,51,44,30,32,33,31,34,10,topic_1335,0.06770034
apache-spark-mllib,0,0,0,0,0,0,0,0,0,0,0,5,57,111,246,305,334,287,246,171,151,114,50,topic_384,0.08409091
greendao,0,0,0,0,0,0,0,2,37,53,41,62,37,40,51,65,70,54,25,13,19,15,1,topic_1021,0.071587265
actionlistener,4,2,14,24,27,84,106,189,224,372,333,383,223,249,201,196,124,131,94,93,66,87,11,topic_902,0.29580817
nsis,14,35,42,62,77,106,108,163,208,186,157,111,120,119,83,97,65,76,81,74,87,114,17,topic_435,0.23087431
composer-php,0,0,0,0,0,0,0,12,182,290,443,578,606,716,751,790,732,716,646,642,649,563,201,topic_463,0.5589336
glmnet,0,0,0,0,0,1,4,5,2,5,18,17,16,28,24,29,30,30,45,46,41,36,12,topic_549,0.019088333
silverlight-toolkit,1,4,10,63,77,118,101,110,55,61,26,15,18,7,2,2,2,0,0,2,1,0,0,topic_192,0.018743357
photoshop,11,24,40,51,71,95,114,116,143,130,154,150,129,118,128,101,92,89,98,67,93,82,20,topic_1361,0.06089189
spi,2,1,1,7,3,11,5,14,15,24,46,54,51,68,64,59,56,57,68,68,79,79,30,topic_854,0.01764173
n-tier-architecture,24,55,42,54,51,66,67,75,64,57,66,54,52,43,32,28,22,23,24,13,7,17,5,topic_1074,0.007227241
apache-flink,0,0,0,0,0,0,0,0,0,0,0,0,0,27,142,227,228,322,416,484,505,679,178,topic_1472,0.15903674
angular-ui,0,0,0,0,0,0,0,0,24,211,374,522,480,387,263,196,119,78,37,26,14,18,3,topic_458,0.105499655
shader,7,21,44,45,81,164,167,191,239,372,348,386,332,329,307,293,291,275,260,254,288,311,101,topic_969,0.4100812
passport.js,0,0,0,0,0,0,0,19,76,146,231,309,310,352,334,436,429,481,456,399,442,513,161,topic_1363,0.7453134
google-earth-plugin,1,5,5,9,12,22,26,80,94,83,49,46,30,9,7,2,4,2,1,0,1,1,0,topic_1290,0.11526554
uikeyboard,1,1,8,22,46,51,49,64,84,56,62,78,81,79,53,48,46,22,33,26,34,25,3,topic_881,0.041210312
wcf-rest,0,0,8,11,28,56,84,63,40,48,67,32,23,17,32,23,27,18,13,6,7,6,2,topic_220,0.2215722
pyqt,3,48,115,165,187,297,353,423,467,522,553,764,585,677,580,754,745,981,955,942,961,1050,392,topic_174,0.44086665
code-coverage,52,50,55,85,98,126,138,185,175,191,200,225,202,216,218,247,245,235,229,218,253,258,90,topic_981,0.09561275
osdev,13,6,5,3,3,15,18,25,17,16,21,22,18,30,27,37,51,35,33,40,38,61,20,topic_895,0.11454204
stringbuffer,3,2,2,8,8,9,21,26,30,26,37,44,38,39,28,27,12,20,22,10,17,15,8,topic_305,0.034426987
category-theory,0,1,2,2,3,6,5,2,12,22,7,14,22,10,24,15,33,23,22,31,22,25,4,topic_920,0.023639921
angularjs-e2e,0,0,0,0,0,0,0,0,3,7,65,54,61,82,75,65,46,40,22,9,9,4,0,topic_279,0.055003583
favicon,13,10,28,32,45,66,47,83,78,82,89,85,69,69,68,90,59,68,50,60,76,70,23,topic_86,0.15219589
src,1,8,15,29,36,36,65,79,84,108,88,104,95,89,74,86,76,77,63,63,70,57,16,topic_1145,0.1300828
pypy,1,2,2,4,9,23,26,34,41,43,28,36,29,30,32,35,35,33,29,27,27,41,6,topic_902,0.051986087
emulation,23,30,61,106,126,226,243,277,299,244,201,236,231,194,200,193,193,199,133,94,109,96,35,topic_290,0.1071214
